epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3927,2.09591,2.01773,1.9937,0.1105,0.15804,0.04531,0.01092,2.82894,4.69102,3.21377,0.0703947,0.00328947,0.00328947
2,78.4008,2.01477,1.81703,1.87745,0.22307,0.30699,0.14905,0.04138,2.80375,2.38746,2.35321,0.0403292,0.00655724,0.00655724
3,117.681,1.97838,1.77224,1.8391,0.27752,0.31828,0.21074,0.05487,2.6098,2.38355,2.32651,0.0101976,0.00975901,0.00975901
4,156.186,1.95902,1.73618,1.82177,0.35529,0.38727,0.28896,0.07845,2.45798,2.67643,2.22408,0.009703,0.009703,0.009703
5,199.472,1.94345,1.71305,1.81692,0.27448,0.23487,0.16953,0.06367,2.44597,2.42653,1.72701,0.009604,0.009604,0.009604
6,241.968,1.92563,1.67839,1.7903,0.48332,0.51333,0.4636,0.17918,2.02528,2.19224,1.71212,0.009505,0.009505,0.009505
7,290.086,1.89637,1.65797,1.76311,0.48267,0.50172,0.44678,0.17177,2.08914,2.18108,1.78845,0.009406,0.009406,0.009406
8,336.487,1.87218,1.64963,1.76596,0.43933,0.48981,0.41811,0.13553,2.21481,2.16446,2.00609,0.009307,0.009307,0.009307
9,379.957,1.86638,1.63328,1.76466,0.51577,0.46692,0.46218,0.16874,2.16996,2.00657,1.81841,0.009208,0.009208,0.009208
10,431.545,1.86769,1.61704,1.75492,0.55953,0.53183,0.54168,0.21854,2.04319,1.62333,1.7175,0.009109,0.009109,0.009109
11,478.245,1.83962,1.58916,1.74482,0.52121,0.51615,0.48555,0.15921,2.18793,1.93523,1.88422,0.00901,0.00901,0.00901
12,516.563,1.84221,1.5849,1.73587,0.52426,0.47977,0.48109,0.20836,1.98611,1.66371,1.6313,0.008911,0.008911,0.008911
13,558.491,1.83286,1.58233,1.73712,0.57603,0.54343,0.55234,0.2326,1.98642,1.71466,1.665,0.008812,0.008812,0.008812
14,602.577,1.82723,1.55073,1.71091,0.49845,0.49545,0.48285,0.20571,1.98118,1.69607,1.61623,0.008713,0.008713,0.008713
15,647.085,1.83355,1.55646,1.71713,0.57834,0.55472,0.56269,0.24174,1.94746,1.494,1.6613,0.008614,0.008614,0.008614
16,692.066,1.80842,1.52435,1.7035,0.56859,0.56746,0.57301,0.25058,1.92529,1.69835,1.62786,0.008515,0.008515,0.008515
17,736.401,1.80845,1.52006,1.70656,0.56111,0.56928,0.55871,0.19381,2.08343,1.70439,1.78515,0.008416,0.008416,0.008416
18,780.978,1.8121,1.5296,1.71048,0.49462,0.47785,0.45382,0.195,2.01844,1.747,1.6578,0.008317,0.008317,0.008317
19,825.394,1.79398,1.50906,1.69853,0.56877,0.50706,0.52869,0.21428,2.05509,1.614,1.70154,0.008218,0.008218,0.008218
20,870.305,1.79418,1.52379,1.70372,0.60368,0.57134,0.58405,0.24888,1.98202,1.42662,1.67221,0.008119,0.008119,0.008119
21,919.449,1.76338,1.49889,1.67055,0.57358,0.58702,0.59749,0.2595,1.94852,1.52967,1.60843,0.00802,0.00802,0.00802
22,971.72,1.77746,1.4773,1.67879,0.6162,0.62228,0.62875,0.27495,1.90196,1.42762,1.60762,0.007921,0.007921,0.007921
23,1019.24,1.76052,1.4608,1.66817,0.60847,0.53214,0.57886,0.25967,1.90117,1.48628,1.57492,0.007822,0.007822,0.007822
24,1068.86,1.75233,1.47222,1.65675,0.59572,0.53553,0.56077,0.24745,1.91955,1.51172,1.62476,0.007723,0.007723,0.007723
25,1111.14,1.76366,1.46391,1.66573,0.52197,0.52556,0.51327,0.22264,1.89981,1.61554,1.58115,0.007624,0.007624,0.007624
26,1137.43,1.75211,1.473,1.66648,0.59989,0.57886,0.59705,0.27697,1.83763,1.49063,1.50251,0.007525,0.007525,0.007525
27,1163.63,1.73653,1.44518,1.64567,0.58559,0.60113,0.60721,0.28107,1.82286,1.4635,1.54,0.007426,0.007426,0.007426
28,1189.9,1.73831,1.4443,1.65069,0.54716,0.57855,0.56039,0.25383,1.83234,1.69545,1.51464,0.007327,0.007327,0.007327
29,1216.24,1.74089,1.4448,1.65822,0.57435,0.59204,0.58576,0.2673,1.84027,1.46336,1.56362,0.007228,0.007228,0.007228
